,PA01H:CO,PA01H:PM10,PA01H:PM25,PA01H:NO2,PA01H:NO,PA01H:NOX,PA01H:O3,OBJECTID
,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,0
,PA01H,PA01H,PA01H,PA01H,PA01H,PA01H,PA01H,1
,Monoxyde de carbone,PM 10 particules,"PM 2,5 particules",dioxyde d azote,monoxyde d azote,oxydes d azote,ozone,2
,CO,PM10,PM25,NO2,NO,NOX,O3,3
,mg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,4
2021/05/29 08:00:00+00,,20.500000,12.700000,36.700000,8.200000,49.400000,43.600000,3564
2021/05/29 09:00:00+00,,15,8,24.700000,5.500000,33.200000,65.700000,3565
2021/05/29 10:00:00+00,,10.800000,5.400000,12.600000,1.900000,15.400000,84.300000,3566
2021/05/29 11:00:00+00,,11.300000,5.800000,9.700000,1.700000,12.400000,91.600000,3567
2021/05/29 12:00:00+00,,11.800000,6.500000,8.100000,1.400000,10.400000,97,3568
2021/05/29 13:00:00+00,,12.700000,6.200000,7.500000,1.200000,9.400000,98.600000,3569
2021/05/29 14:00:00+00,,14,6.300000,7.900000,1.100000,9.600000,99.400000,3570
2021/05/29 15:00:00+00,,12.200000,5.700000,7.500000,1,9,99.600000,3571
2021/05/29 16:00:00+00,,14,6,10.400000,1.200000,12.300000,97.400000,3572
2021/05/29 17:00:00+00,,11.500000,5.900000,10.500000,1.100000,12.300000,98.300000,3573
2021/05/29 18:00:00+00,,12.700000,6.400000,15.500000,2.300000,18.900000,93.400000,3574
2021/05/29 19:00:00+00,,12.800000,7.200000,15.800000,0.800000,17,95.300000,3575
2021/05/29 20:00:00+00,,13,7.500000,21.900000,0.600000,22.900000,93.100000,3576
2021/05/29 21:00:00+00,,12.200000,7.300000,24.500000,0.400000,25,87.800000,3577
2021/05/29 22:00:00+00,,10.700000,6.700000,21.600000,0.300000,22.100000,86.400000,3578
2021/05/29 23:00:00+00,,9.300000,6,20.300000,0.500000,21,84.200000,3579
2021/05/30 00:00:00+00,,10.700000,6.800000,21.300000,0.200000,21.600000,79.400000,3580
2021/05/30 01:00:00+00,,11.600000,7.900000,16,0.400000,16.600000,78.500000,3581
2021/05/30 02:00:00+00,,13.700000,9.400000,14.900000,0.500000,15.600000,75.100000,3582
2021/05/30 03:00:00+00,,14.500000,10.600000,13.800000,0.500000,14.500000,73.600000,3583
2021/05/30 04:00:00+00,,15.500000,11,12.800000,0.400000,13.400000,69.600000,3584
2021/05/30 05:00:00+00,,17.200000,12.500000,15,0.600000,16,63.100000,3585
2021/05/30 06:00:00+00,,17.600000,13.400000,15.600000,1.400000,17.800000,62.500000,3586
2021/05/30 07:00:00+00,,18.100000,13.900000,13.600000,2.200000,17,63.800000,3587
2021/05/30 08:00:00+00,,17.700000,13.100000,12.900000,2.400000,16.500000,68.900000,3588
2021/05/30 09:00:00+00,,16.200000,11.700000,12.100000,2.700000,16.200000,73.600000,3589
2021/05/30 10:00:00+00,,17,10.800000,11,2.200000,14.300000,84.800000,3590
2021/05/30 11:00:00+00,,13.200000,8.800000,8.900000,1.500000,11.200000,98.800000,3591
2021/05/30 12:00:00+00,,12.200000,7,7.200000,1.200000,8.900000,106.400000,3592
2021/05/30 13:00:00+00,,11.600000,6.200000,7,1,8.500000,105.400000,3593
2021/05/30 14:00:00+00,,12.700000,6.100000,6.300000,0.800000,7.500000,108.200000,3594
2021/05/30 15:00:00+00,,17,7.200000,6.800000,0.700000,7.800000,108.100000,3595
2021/05/30 16:00:00+00,,22.200000,7.700000,7.800000,0.900000,9.100000,105.600000,3596
2021/05/30 17:00:00+00,,12.900000,6.800000,8.500000,0.900000,9.700000,104.500000,3597
2021/05/30 18:00:00+00,,12.400000,6.500000,9.200000,0.900000,10.500000,101.600000,3598
2021/05/30 19:00:00+00,,11.300000,6.200000,10.700000,0.700000,11.800000,98.500000,3599
2021/05/30 20:00:00+00,,10.100000,5.900000,15.500000,0.500000,16.400000,91.600000,3600
2021/05/30 21:00:00+00,,9.400000,5.900000,21.800000,0.500000,22.500000,83.600000,3601
2021/05/30 22:00:00+00,,10.300000,6.200000,28.900000,0.500000,29.600000,72.500000,3602
2021/05/30 23:00:00+00,,10.900000,6.500000,23.700000,0.500000,24.300000,71.500000,3603
2021/05/31 00:00:00+00,,11.300000,7,22,0.400000,22.600000,67.300000,3604
2021/05/31 01:00:00+00,,12.800000,7.300000,19.400000,0.400000,20.100000,65.900000,3605
2021/05/31 02:00:00+00,,12.700000,7,15.600000,0.400000,16.100000,67.300000,3606
2021/05/31 03:00:00+00,,11.500000,6.700000,15.200000,0.300000,15.700000,61.800000,3607
2021/05/31 04:00:00+00,,11.900000,7.100000,18.700000,0.600000,19.700000,56.200000,3608
2021/05/31 05:00:00+00,,13,7.700000,27.800000,1.300000,29.800000,46.400000,3609
2021/05/31 06:00:00+00,,17.200000,8.500000,38.100000,5.500000,46.400000,41.500000,3610
2021/05/31 07:00:00+00,,20.100000,8.600000,36,8.300000,48.600000,50.400000,3611
2021/05/31 08:00:00+00,,,,23.600000,4.700000,30.900000,68.900000,3612
2021/05/31 09:00:00+00,,17.900000,7.300000,14.600000,2.700000,18.600000,83.900000,3613
2021/05/31 10:00:00+00,,20.400000,7.600000,11.200000,1.800000,14,91.800000,3614
2021/05/31 11:00:00+00,,16.800000,7.500000,9.600000,1.200000,11.500000,98.400000,3615
2021/05/31 12:00:00+00,,16.400000,7.300000,7.800000,1.200000,9.500000,105.600000,3616
2021/05/31 13:00:00+00,,18.300000,7.600000,9,1.400000,11,107,3617
2021/05/31 14:00:00+00,,21.200000,7.400000,8,1.300000,9.900000,110.400000,3618
2021/05/31 15:00:00+00,,17.900000,6.800000,7.800000,1,9.300000,112,3619
2021/05/31 16:00:00+00,,25.200000,7.300000,8.400000,1.200000,10.200000,109.900000,3620
2021/05/31 17:00:00+00,,18.400000,6.400000,7.900000,0.700000,9,111.200000,3621
2021/05/31 18:00:00+00,,17.200000,6.200000,9.800000,1.200000,11.600000,113.500000,3622
2021/05/31 19:00:00+00,,19.800000,6.900000,8.900000,0.400000,9.500000,113.600000,3623
2021/05/31 20:00:00+00,,16.500000,6.300000,11.100000,0.300000,11.600000,104.100000,3624
2021/05/31 21:00:00+00,,15.200000,6.200000,14,0.300000,14.500000,94.800000,3625
2021/05/31 22:00:00+00,,12.900000,6,18.700000,0.500000,19.600000,88.400000,3626
2021/05/31 23:00:00+00,,14.300000,6.700000,20.700000,0.200000,21.100000,85.200000,3627
2021/06/01 00:00:00+00,,11.900000,5.600000,12.900000,0.500000,13.500000,96.500000,3628
2021/06/01 01:00:00+00,,11.500000,5.600000,11.600000,0.400000,12.200000,93.500000,3629
2021/06/01 02:00:00+00,,15.700000,6.900000,21.500000,0.300000,21.900000,71.300000,3630
2021/06/01 03:00:00+00,,13.300000,6.500000,18.900000,0.500000,19.700000,75.800000,3631
2021/06/01 04:00:00+00,,13.600000,6.700000,21.100000,0.500000,21.800000,68.200000,3632
2021/06/01 05:00:00+00,,22.200000,9.900000,34,1.300000,36,53,3633
2021/06/01 06:00:00+00,,17.700000,8,46.800000,7.500000,58.200000,50.700000,3634
2021/06/01 07:00:00+00,,29.600000,10,39.800000,8,52.100000,57,3635
2021/06/01 08:00:00+00,,28.300000,9.300000,32.900000,6,42.200000,68.700000,3636
2021/06/01 09:00:00+00,,27.500000,9.700000,36.100000,8.200000,48.700000,70.300000,3637
2021/06/01 10:00:00+00,,29,10,31.100000,6.300000,40.700000,82.700000,3638
2021/06/01 11:00:00+00,,28.300000,9.400000,18.200000,2.700000,22.300000,111,3639
2021/06/01 12:00:00+00,,25.100000,8.400000,9.900000,1,11.400000,124.200000,3640
2021/06/01 13:00:00+00,,23.600000,7.200000,7.700000,1,9.300000,124.300000,3641
2021/06/01 14:00:00+00,,20,7.200000,8.800000,1.600000,11.100000,126.100000,3642
2021/06/01 15:00:00+00,,,8.300000,10.100000,1.100000,11.800000,120.500000,3643
2021/06/01 16:00:00+00,,,8.700000,9.700000,0.900000,11,117.900000,3644
2021/06/01 17:00:00+00,,,11.100000,11.700000,1.100000,13.400000,115.700000,3645
2021/06/01 18:00:00+00,,,10.100000,12.200000,0.800000,13.300000,114.800000,3646
2021/06/01 19:00:00+00,,,9.700000,16.800000,0.800000,17.900000,107,3647
2021/06/01 20:00:00+00,,,9.700000,24.500000,0.500000,25.300000,96.100000,3648
2021/06/01 21:00:00+00,,,12.500000,31.600000,0.500000,32.300000,79.600000,3649
2021/06/01 22:00:00+00,,20.200000,10.700000,26.200000,0.500000,27,85.100000,3650
2021/06/01 23:00:00+00,,16.600000,8.200000,14.300000,0.200000,14.700000,98.200000,3651
2021/06/02 00:00:00+00,,15.100000,7.600000,11.100000,0.300000,11.500000,98.200000,3652
2021/06/02 01:00:00+00,,16.500000,8,9.700000,0.300000,10,91.600000,3653
2021/06/02 02:00:00+00,,15.500000,8,9.900000,0.400000,10.400000,84,3654
2021/06/02 03:00:00+00,,14.600000,8,10.100000,0.500000,10.900000,80,3655
2021/06/02 04:00:00+00,,15.500000,8.400000,12.800000,0.400000,13.300000,74.600000,3656
2021/06/02 05:00:00+00,,18.400000,8.900000,17.500000,0.700000,18.400000,66.400000,3657
2021/06/02 06:00:00+00,,23.300000,10.700000,39.500000,5.800000,48.300000,40.800000,3658
2021/06/02 07:00:00+00,,,13.600000,39.200000,10.500000,55.200000,38.400000,3659
2021/06/02 08:00:00+00,,,15.400000,39.800000,13.400000,60.400000,39,3660
2021/06/02 09:00:00+00,,,15.500000,30.300000,8.900000,44,53.200000,3661
2021/06/02 10:00:00+00,,,14.600000,23.800000,4.900000,31.300000,69,3662
2021/06/02 11:00:00+00,,,15.800000,16.600000,2.600000,20.600000,83.400000,3663
2021/06/02 12:00:00+00,,,15.100000,13.100000,1.900000,16.100000,87.700000,3664
2021/06/02 13:00:00+00,,,14.600000,12.500000,1.900000,15.400000,86.900000,3665
2021/06/02 14:00:00+00,,,12.600000,14.400000,1.900000,17.200000,82.700000,3666
2021/06/02 15:00:00+00,,,11.600000,11.500000,2.100000,14.700000,84,3667
2021/06/02 16:00:00+00,,,12.200000,12.300000,1.900000,15.200000,82.800000,3668
2021/06/02 17:00:00+00,,,8.600000,11.900000,1.600000,14.400000,77.300000,3669
2021/06/02 18:00:00+00,,,10.400000,12.600000,1.300000,14.500000,72.100000,3670
2021/06/02 19:00:00+00,,20.900000,9.900000,14.200000,1.100000,15.800000,70.400000,3671
2021/06/02 20:00:00+00,,18.400000,10.800000,12.800000,0.800000,14,66.200000,3672
2021/06/02 21:00:00+00,,22.300000,13.400000,11.100000,0.400000,11.800000,66.300000,3673
2021/06/02 22:00:00+00,,20.200000,14.300000,9.100000,0.600000,10.100000,66.100000,3674
2021/06/02 23:00:00+00,,19,13.900000,8.800000,0.700000,9.900000,65.800000,3675
2021/06/03 00:00:00+00,,19.200000,13.100000,7.600000,0.600000,8.500000,68.900000,3676
2021/06/03 01:00:00+00,,17.700000,12.300000,6.500000,0.500000,7.300000,73,3677
2021/06/03 02:00:00+00,,17,12.300000,6.900000,0.500000,7.600000,71.200000,3678
2021/06/03 03:00:00+00,,17.400000,12.500000,10,0.700000,11.100000,62.900000,3679
2021/06/03 04:00:00+00,,17.700000,12.800000,11.800000,0.600000,12.700000,58,3680
2021/06/03 05:00:00+00,,21.400000,13.500000,23.900000,1.500000,26.100000,46,3681
2021/06/03 06:00:00+00,,26.400000,14.600000,33.200000,2.800000,37.500000,33.500000,3682
2021/06/03 07:00:00+00,,,16,39,5.800000,47.900000,36.500000,3683
2021/06/03 08:00:00+00,,,18.600000,42,9.200000,56.100000,47,3684
2021/06/03 09:00:00+00,,,16.200000,32.200000,4.500000,39,65.600000,3685
2021/06/03 10:00:00+00,,,15.900000,26.500000,4.500000,33.300000,79.400000,3686
2021/06/03 11:00:00+00,,,16.600000,20.800000,2.700000,24.900000,87.200000,3687
2021/06/03 12:00:00+00,,,17,19.500000,2.300000,23,94.600000,3688
2021/06/03 13:00:00+00,,,17.800000,15.400000,1.900000,18.200000,107.900000,3689
2021/06/03 14:00:00+00,,,15.400000,12.200000,0.900000,13.700000,111,3690
2021/06/03 15:00:00+00,,,19.400000,30.700000,2.200000,34,94.200000,3691
2021/06/03 16:00:00+00,,,16.700000,23.400000,1.700000,26,103.700000,3692
2021/06/03 17:00:00+00,,,16.600000,22.500000,1.200000,24.400000,100,3693
2021/06/03 18:00:00+00,,,10.200000,20.700000,1.400000,22.900000,93.700000,3694
2021/06/03 19:00:00+00,,16.500000,8.500000,21.100000,1.200000,23,93.500000,3695
2021/06/03 20:00:00+00,,17.400000,8.600000,20.800000,0.600000,21.700000,92.500000,3696
2021/06/03 21:00:00+00,,13,7.600000,29.200000,0.600000,30.200000,74.100000,3697
2021/06/03 22:00:00+00,,11.100000,7,27.300000,0.500000,28.100000,69.500000,3698
2021/06/03 23:00:00+00,,11,6.800000,24.200000,0.500000,24.800000,66.400000,3699
2021/06/04 00:00:00+00,,12.500000,7.900000,20.400000,0.600000,21.200000,67.300000,3700
2021/06/04 01:00:00+00,,21.300000,13.800000,13.400000,0.400000,13.900000,58.500000,3701
2021/06/04 02:00:00+00,,25.200000,15.200000,9.300000,0.400000,9.800000,52.500000,3702
2021/06/04 03:00:00+00,,18.200000,12.700000,7.900000,0.600000,8.900000,53.400000,3703
2021/06/04 04:00:00+00,,18.400000,12.800000,10.600000,0.500000,11.300000,53.300000,3704
2021/06/04 05:00:00+00,,18.200000,13.800000,20.100000,0.600000,21,54.400000,3705
2021/06/04 06:00:00+00,,14.200000,10.100000,24.400000,0.900000,25.700000,56,3706
2021/06/04 07:00:00+00,,7.800000,3.700000,35.900000,2,39,48.700000,3707
2021/06/04 08:00:00+00,,8.800000,4,40.400000,6.100000,49.700000,53.200000,3708
2021/06/04 09:00:00+00,,8,3.500000,33.200000,6.700000,43.400000,60.500000,3709
2021/06/04 10:00:00+00,,9.700000,4.500000,34.100000,6.700000,44.400000,63,3710
2021/06/04 11:00:00+00,,11.700000,5.900000,34.600000,5.300000,42.700000,63.600000,3711
2021/06/04 12:00:00+00,,10.400000,5.500000,29.300000,3.900000,35.200000,64.100000,3712
2021/06/04 13:00:00+00,,13,6.600000,21.500000,3.400000,26.700000,49.500000,3713
2021/06/04 14:00:00+00,,14.200000,9.300000,25.900000,7.500000,37.400000,35.800000,3714
2021/06/04 15:00:00+00,,14.900000,10.100000,21.500000,4.500000,28.400000,52.900000,3715
2021/06/04 16:00:00+00,,11.100000,7.100000,18.400000,1.900000,21.400000,68.800000,3716
2021/06/04 17:00:00+00,,10.600000,6.700000,18.100000,1.700000,20.800000,72,3717
2021/06/04 18:00:00+00,,12.400000,9.200000,17,1.100000,18.600000,64.900000,3718
2021/06/04 19:00:00+00,,14.200000,11.500000,13.400000,0.500000,14.300000,70.600000,3719
2021/06/04 20:00:00+00,,18.200000,14.400000,16.200000,0.700000,17.300000,62.400000,3720
2021/06/04 21:00:00+00,,16.500000,11.800000,14.800000,0.400000,15.300000,55.300000,3721
2021/06/04 22:00:00+00,,14.200000,10.900000,9.400000,0.500000,10.200000,67.500000,3722
2021/06/04 23:00:00+00,,14.800000,12.600000,12.100000,0.500000,12.900000,52.700000,3723
2021/06/05 00:00:00+00,,10.600000,8.500000,10.500000,0.500000,11.400000,48.800000,3724
2021/06/05 01:00:00+00,,7.900000,6.500000,9.100000,0.500000,9.700000,50.100000,3725
2021/06/05 02:00:00+00,,11.300000,9.200000,9.100000,0.400000,9.600000,42.700000,3726
2021/06/05 03:00:00+00,,12.800000,10.500000,7.800000,0.400000,8.300000,45.700000,3727
2021/06/05 04:00:00+00,,14.400000,11.700000,7.400000,0.300000,7.800000,46.300000,3728
2021/06/05 05:00:00+00,,12.800000,10.500000,7.900000,0.400000,8.500000,47.400000,3729
2021/06/05 06:00:00+00,,15.600000,10.900000,12.500000,0.700000,13.600000,46.200000,3730
2021/06/05 07:00:00+00,,13.400000,9.400000,12.300000,1.300000,14.200000,46.400000,3731
2021/06/05 08:00:00+00,,11.900000,8.300000,13.600000,2,16.600000,49,3732
2021/06/05 09:00:00+00,,12.400000,8.300000,11.400000,2.600000,15.400000,54.200000,3733
2021/06/05 10:00:00+00,,12.800000,7.500000,10.100000,2.100000,13.300000,62.400000,3734
2021/06/05 11:00:00+00,,11.900000,7.800000,9.900000,1.600000,12.400000,71.100000,3735
2021/06/05 12:00:00+00,,13.100000,8.800000,10.400000,1.300000,12.400000,71.900000,3736
2021/06/05 13:00:00+00,,14.100000,9.300000,9.500000,1.200000,11.300000,71.800000,3737
2021/06/05 14:00:00+00,,12.700000,7.800000,10.200000,1.200000,12,73.300000,3738
2021/06/05 15:00:00+00,,11.200000,5.900000,12.300000,1.100000,14.100000,71.800000,3739
2021/06/05 16:00:00+00,,11,5.400000,13.200000,1.500000,15.600000,71.500000,3740
2021/06/05 17:00:00+00,,13.400000,6.200000,12.400000,1.500000,14.700000,74.700000,3741
2021/06/05 18:00:00+00,,11.200000,6.300000,14.700000,1,16.200000,73.600000,3742
2021/06/05 19:00:00+00,,11.500000,7.300000,13.800000,1,15.300000,71.900000,3743
2021/06/05 20:00:00+00,,14.400000,8.800000,17.500000,0.600000,18.400000,72,3744
2021/06/05 21:00:00+00,,11.100000,7.800000,15.600000,0.400000,16.300000,66.600000,3745
2021/06/05 22:00:00+00,,10,7.800000,17.500000,0.300000,18,60.400000,3746
2021/06/05 23:00:00+00,,11.400000,8.700000,11.600000,0.400000,12.100000,76.700000,3747
2021/06/06 00:00:00+00,,10.300000,7,9.400000,0.300000,10,77.400000,3748
2021/06/06 01:00:00+00,,9.600000,6.200000,11.700000,0.300000,12.100000,70.800000,3749
2021/06/06 02:00:00+00,,10.300000,6,13.200000,0.300000,13.600000,69.600000,3750
2021/06/06 03:00:00+00,,10.900000,6.200000,12.700000,0.300000,13.100000,64.200000,3751
2021/06/06 04:00:00+00,,11.500000,6.500000,11.900000,0.400000,12.400000,58.500000,3752
2021/06/06 05:00:00+00,,11.400000,6.600000,10,0.600000,10.800000,59.700000,3753
2021/06/06 06:00:00+00,,12,6.600000,11.600000,1.300000,13.500000,56.300000,3754
2021/06/06 07:00:00+00,,8.900000,5.400000,11.600000,2.100000,14.900000,58.400000,3755
2021/06/06 08:00:00+00,,8,4.700000,10.600000,2.600000,14.600000,60.900000,3756
2021/06/06 09:00:00+00,,8.900000,4.300000,10.100000,2.500000,13.900000,73.400000,3757
2021/06/06 10:00:00+00,,11.300000,4.800000,7.700000,1.700000,10.200000,86.200000,3758
2021/06/06 11:00:00+00,,11.600000,5.700000,6.800000,1,8.300000,95.500000,3759
2021/06/06 12:00:00+00,,11.700000,6.300000,6.900000,1.200000,8.700000,98.100000,3760
2021/06/06 13:00:00+00,,10,5.600000,5.900000,0.900000,7.200000,99.800000,3761
2021/06/06 14:00:00+00,,10.900000,5.600000,6.300000,1,7.700000,97.200000,3762
2021/06/06 15:00:00+00,,13.600000,5.800000,6.100000,0.900000,7.600000,97.100000,3763
2021/06/06 16:00:00+00,,11.400000,5.800000,7.200000,0.700000,8.500000,96.900000,3764
2021/06/06 17:00:00+00,,10,5.900000,7.600000,0.900000,9,97.100000,3765
2021/06/06 18:00:00+00,,12.300000,6.700000,8.900000,0.800000,10.200000,95.600000,3766
2021/06/06 19:00:00+00,,11.700000,6.800000,11.200000,0.600000,12.100000,96.400000,3767
2021/06/06 20:00:00+00,,13.600000,7.300000,14.700000,0.500000,15.500000,90.900000,3768
2021/06/06 21:00:00+00,,12.700000,8.600000,15.300000,0.500000,16,80.100000,3769
2021/06/06 22:00:00+00,,12.300000,8.100000,14.800000,0.400000,15.300000,77.200000,3770
2021/06/06 23:00:00+00,,12.800000,8.100000,10.300000,0.600000,11.400000,82.100000,3771
2021/06/07 00:00:00+00,,11.400000,7.900000,7.200000,0.300000,7.600000,72.400000,3772
2021/06/07 01:00:00+00,,10.300000,6.800000,7.500000,0.300000,7.900000,66,3773
2021/06/07 02:00:00+00,,9.200000,6.400000,7.100000,0.400000,7.700000,61,3774
2021/06/07 03:00:00+00,,8.800000,6.800000,8.100000,0.500000,8.900000,54.500000,3775
2021/06/07 04:00:00+00,,11.200000,8.100000,11.200000,0.500000,12,46.600000,3776
2021/06/07 05:00:00+00,,13.400000,9,23.600000,1.400000,25.700000,34.200000,3777
2021/06/07 06:00:00+00,,15.200000,9.600000,32,6.200000,41.600000,27.900000,3778
2021/06/07 07:00:00+00,,22.800000,11.200000,37.500000,15.800000,61.800000,26.300000,3779
2021/06/07 08:00:00+00,,31.300000,12.300000,40.700000,19.700000,70.900000,31.300000,3780
2021/06/07 09:00:00+00,,25.800000,11.400000,39,15.900000,63.400000,42.800000,3781
2021/06/07 10:00:00+00,,25.500000,10,28.900000,8.700000,42.200000,67.900000,3782
2021/06/07 11:00:00+00,,18.500000,8.200000,19.200000,3.700000,24.800000,85,3783
2021/06/07 12:00:00+00,,17.600000,8.700000,15.100000,2.100000,18.300000,92.800000,3784
2021/06/07 13:00:00+00,,17.600000,8.200000,11.200000,1.400000,13.300000,103.400000,3785
2021/06/07 14:00:00+00,,18.700000,9.100000,11.800000,1,13.300000,104.100000,3786
2021/06/07 15:00:00+00,,17.200000,8.400000,12.800000,1.100000,14.600000,102.100000,3787
2021/06/07 16:00:00+00,,16.500000,7.700000,11.100000,1.200000,12.900000,100.700000,3788
2021/06/07 17:00:00+00,,15.500000,7.300000,10.800000,1.100000,12.500000,96.700000,3789
2021/06/07 18:00:00+00,,14.300000,6.600000,9.500000,0.900000,10.900000,97.500000,3790
2021/06/07 19:00:00+00,,11.500000,6,10.300000,0.600000,11.400000,94.600000,3791
2021/06/07 20:00:00+00,,12.700000,5.500000,13.500000,0.700000,14.400000,91,3792
2021/06/07 21:00:00+00,,15.100000,6.700000,21.300000,0.500000,22.100000,80.200000,3793
2021/06/07 22:00:00+00,,15.200000,8.300000,20.600000,0.500000,21.300000,79.500000,3794
2021/06/07 23:00:00+00,,15.900000,10.700000,12.300000,0.400000,12.900000,81.900000,3795
2021/06/08 00:00:00+00,,16.600000,11.800000,11.800000,0.500000,12.500000,81.900000,3796
2021/06/08 01:00:00+00,,21.200000,15.200000,13.300000,0.500000,14,78.800000,3797
2021/06/08 02:00:00+00,,25.200000,16.600000,12.800000,0.500000,13.400000,74.100000,3798
2021/06/08 03:00:00+00,,17.700000,12.600000,12.600000,0.500000,13.300000,64.100000,3799
2021/06/08 04:00:00+00,,19,14.600000,16.100000,0.500000,16.800000,59.400000,3800
2021/06/08 05:00:00+00,,21,15.400000,21.300000,0.900000,22.700000,54.700000,3801
2021/06/08 06:00:00+00,,29.200000,18.600000,37.600000,4.700000,44.700000,41.800000,3802
2021/06/08 07:00:00+00,,34,19.800000,43.400000,11.800000,61.500000,36.100000,3803
2021/06/08 08:00:00+00,,37.400000,21.800000,35.900000,10.800000,52.500000,44.800000,3804
2021/06/08 09:00:00+00,,39.600000,22.800000,34.300000,10.300000,50.100000,59.400000,3805
2021/06/08 10:00:00+00,,41.600000,21.500000,28,5.800000,36.900000,81.600000,3806
2021/06/08 11:00:00+00,,31.400000,17,19.400000,2.500000,23.200000,106,3807
2021/06/08 12:00:00+00,,28,15,15,1.700000,17.600000,118.300000,3808
2021/06/08 13:00:00+00,,21.100000,12.200000,13.100000,1.200000,15,123.100000,3809
2021/06/08 14:00:00+00,,24.100000,11.800000,14.200000,1.200000,16,123.600000,3810
2021/06/08 15:00:00+00,,25.800000,11.100000,13.200000,1.100000,15,121.400000,3811
2021/06/08 16:00:00+00,,20.600000,11.400000,13.800000,1,15.300000,120.500000,3812
2021/06/08 17:00:00+00,,16.600000,9.300000,13,1,14.700000,116.700000,3813
2021/06/08 18:00:00+00,,16.600000,9.500000,11.900000,0.800000,13.200000,114.700000,3814
2021/06/08 19:00:00+00,,19.100000,10.600000,12.400000,0.500000,13.100000,107.900000,3815
2021/06/08 20:00:00+00,,21.800000,11.200000,14.800000,0.500000,15.500000,101,3816
2021/06/08 21:00:00+00,,17.400000,10.400000,19.800000,0.500000,20.500000,91.600000,3817
2021/06/08 22:00:00+00,,15.700000,10,19.200000,0.500000,20,81.600000,3818
2021/06/08 23:00:00+00,,10.400000,6.100000,14.300000,0.400000,15,70.700000,3819
2021/06/09 00:00:00+00,,10.500000,6.300000,12.500000,0.400000,13.100000,69.100000,3820
2021/06/09 01:00:00+00,,11.200000,6.400000,11,0.400000,11.700000,66.500000,3821
2021/06/09 02:00:00+00,,11.900000,6.600000,10.200000,0.300000,10.700000,63,3822
2021/06/09 03:00:00+00,,11.300000,7.700000,11.600000,0.700000,12.700000,63.600000,3823
2021/06/09 04:00:00+00,,12,6.700000,16,0.500000,16.700000,52.200000,3824
2021/06/09 05:00:00+00,,16.600000,7.500000,24.500000,1,26.300000,43.500000,3825
2021/06/09 06:00:00+00,,16.100000,8.300000,29.800000,3.700000,35.400000,43,3826
2021/06/09 07:00:00+00,,30.700000,17.300000,48.800000,13,68.700000,38.800000,3827
2021/06/09 08:00:00+00,,49.600000,23.800000,,,,39.400000,3828
2021/06/09 09:00:00+00,,37.900000,17.700000,,,,68.800000,3829
2021/06/09 10:00:00+00,,26.300000,10,27.300000,5.100000,35.100000,84.500000,3830
2021/06/09 11:00:00+00,,22.300000,8.400000,16.600000,2.900000,21,96.800000,3831
2021/06/09 12:00:00+00,,18.300000,8.300000,12.500000,1.700000,15.100000,105.900000,3832
2021/06/09 13:00:00+00,,,8.500000,12,1.100000,13.700000,110.100000,3833
2021/06/09 14:00:00+00,,,8,11.100000,1.300000,13.100000,113.800000,3834
2021/06/09 15:00:00+00,,,8.200000,9.800000,1.200000,11.600000,116,3835
2021/06/09 16:00:00+00,,,8.100000,10.300000,1.100000,12,113.200000,3836
2021/06/09 17:00:00+00,,,9.600000,10.600000,1.200000,12.500000,113.300000,3837
2021/06/09 18:00:00+00,,,9.600000,13.200000,0.600000,14.200000,105.700000,3838
2021/06/09 19:00:00+00,,,9.800000,17.400000,0.600000,18.400000,97.700000,3839
2021/06/09 20:00:00+00,,,10.300000,14.700000,0.500000,15.400000,96.200000,3840
2021/06/09 21:00:00+00,,,9.800000,13.900000,0.700000,14.900000,90.300000,3841
2021/06/09 22:00:00+00,,,12.700000,24.500000,0.300000,24.900000,72.500000,3842
2021/06/09 23:00:00+00,,,10.900000,27.100000,0.700000,28.100000,60.200000,3843
2021/06/10 00:00:00+00,,,9.700000,19.800000,0.600000,20.700000,67.600000,3844
2021/06/10 01:00:00+00,,14.800000,9.100000,12.500000,0.600000,13.300000,69.100000,3845
2021/06/10 02:00:00+00,,13.900000,9.100000,10.700000,0.600000,11.700000,63.900000,3846
2021/06/10 03:00:00+00,,14.600000,9,8.900000,0.400000,9.500000,71.800000,3847
2021/06/10 04:00:00+00,,14.300000,8.600000,9.500000,0.600000,10.400000,67.300000,3848
2021/06/10 05:00:00+00,,13.100000,7.200000,16.500000,0.900000,17.900000,59.900000,3849
2021/06/10 06:00:00+00,,15.100000,5.800000,23,1.600000,25.600000,55.100000,3850
2021/06/10 07:00:00+00,,16.800000,5.400000,34.200000,4.500000,41.200000,46.100000,3851
2021/06/10 08:00:00+00,,34.500000,7.700000,48.100000,11.100000,65.100000,37.900000,3852
2021/06/10 09:00:00+00,,31.400000,7.400000,35,8.700000,48.200000,57.300000,3853
2021/06/10 10:00:00+00,,37.100000,9.300000,37.700000,9.400000,52.200000,64.800000,3854
2021/06/10 11:00:00+00,,40.200000,10.400000,42.100000,8.300000,54.800000,70.700000,3855
2021/06/10 12:00:00+00,,36.100000,11.200000,34.200000,6.300000,43.900000,89.200000,3856
