,PA01H:CO,PA01H:PM10,PA01H:PM25,PA01H:NO2,PA01H:NO,PA01H:NOX,PA01H:O3,OBJECTID
,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,PARIS 1er Les Halles,0
,PA01H,PA01H,PA01H,PA01H,PA01H,PA01H,PA01H,1
,Monoxyde de carbone,PM 10 particules,"PM 2,5 particules",dioxyde d azote,monoxyde d azote,oxydes d azote,ozone,2
,CO,PM10,PM25,NO2,NO,NOX,O3,3
,mg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,4
2021/01/05 23:00:00+00,,34.100000,34.100000,,,,4.400000,123
2021/01/06 00:00:00+00,,34.500000,35.300000,,,,4.400000,124
2021/01/06 01:00:00+00,,33.900000,,,,,4,125
2021/01/06 02:00:00+00,,35.300000,,,,,4.300000,126
2021/01/06 03:00:00+00,,34.100000,,,,,2.900000,127
2021/01/06 04:00:00+00,,28.600000,,,,,1.700000,128
2021/01/06 05:00:00+00,,28,,,,,1.900000,129
2021/01/06 06:00:00+00,,29.900000,,,,,2.200000,130
2021/01/06 07:00:00+00,,28.600000,,,,,1.700000,131
2021/01/06 08:00:00+00,,28.700000,,,,,2.300000,132
2021/01/06 09:00:00+00,,28.500000,,,,,4,133
2021/01/06 10:00:00+00,,28,,,,,5.500000,134
2021/01/06 11:00:00+00,,26.400000,,,,,7.900000,135
2021/01/06 12:00:00+00,,27.200000,,,,,8.600000,136
2021/01/06 13:00:00+00,,32.600000,,,,,8.400000,137
2021/01/06 14:00:00+00,,34.300000,,,,,8.600000,138
2021/01/06 15:00:00+00,,33.700000,,,,,5.500000,139
2021/01/06 16:00:00+00,,28.200000,,,,,5.300000,140
2021/01/06 17:00:00+00,,22.400000,,,,,5.300000,141
2021/01/06 18:00:00+00,,19,,,,,4.200000,142
2021/01/06 19:00:00+00,,20.700000,,,,,3.900000,143
2021/01/06 20:00:00+00,,22.700000,,,,,3.500000,144
2021/01/06 21:00:00+00,,26.400000,,,,,4,145
2021/01/06 22:00:00+00,,24.300000,,,,,4.500000,146
